"","2001: A Space Odyssey (1968)","Apocalypse Now (1979)","Big Lebowski, The (1998)","Bourne Identity, The (2002)","Clear and Present Danger (1994)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Departed, The (2006)","Donnie Darko (2001)","Ferris Bueller's Day Off (1986)","Green Mile, The (1999)","Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)","Indiana Jones and the Temple of Doom (1984)","Interview with the Vampire: The Vampire Chronicles (1994)","Jumanji (1995)","Kill Bill: Vol. 2 (2004)","Shining, The (1980)","Sleepless in Seattle (1993)","Star Trek: Generations (1994)","There's Something About Mary (1998)","Up (2009)"
"1",NA,4,5,NA,4,NA,NA,NA,NA,5,NA,5,NA,NA,NA,3,NA,NA,NA,NA
"20",NA,NA,NA,3,NA,3.5,NA,NA,NA,NA,4.5,NA,NA,3,NA,NA,NA,NA,NA,NA
"187",4,NA,5,NA,NA,3,NA,3.5,NA,NA,NA,NA,3.5,NA,4,4.5,NA,NA,NA,NA
"198",4,NA,3,NA,NA,3,NA,NA,NA,5,NA,3,NA,NA,NA,3,NA,NA,NA,NA
"212",4,NA,3,NA,NA,NA,NA,NA,2.5,NA,3.5,NA,NA,NA,NA,4,NA,NA,NA,3
"222",NA,3.5,3.5,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,2.5,4,NA,NA,NA,3,2.5
"282",NA,4.5,4,4.5,NA,NA,4.5,NA,4.5,4,NA,4,NA,NA,3.5,4,NA,NA,NA,NA
"328",4,4,3.5,4,NA,NA,3.5,1,2,NA,4,4,NA,NA,5,4,NA,NA,NA,4.5
"330",1.5,2.5,5,2,NA,4.5,4.5,4.5,4,4,4.5,NA,4.5,1.5,5,4,2,NA,5,NA
"372",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"432",NA,NA,NA,4.5,NA,NA,2.5,NA,NA,4,NA,NA,4.5,4,2.5,3,NA,NA,NA,4
"434",4.5,3.5,4.5,4,3.5,4.5,5,5,3.5,4.5,2.5,4.5,NA,2.5,4.5,5,NA,NA,3.5,3.5
"495",NA,4.5,5,NA,NA,NA,5,NA,4.5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"562",NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,4,4.5,NA,NA,NA
"594",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,4,NA,NA,5,4,4,NA
